Name,Crossing Number,Genus-3D,Bridge Index,Braid Index,Alexander
11n_150,11,3,3,5,2-9*t+ 17*t^2-19*t^3+ 17*t^4-9*t^5+ 2*t^6
11n_151,11,2,3,4,2-6*t+ 7*t^2-6*t^3+ 2*t^4
11n_152,11,3,3,4,2-6*t+ 7*t^2-6*t^3+ 2*t^4
11n_153,11,4,3,4,1-4*t+ 7*t^2-10*t^3+ 13*t^4-10*t^5+ 7*t^6-4*t^7+ t^8
11n_154,11,3,3,4,1-7*t+ 19*t^2-25*t^3+ 19*t^4-7*t^5+ t^6
11n_155,11,3,3,5,2-8*t+ 11*t^2-9*t^3+ 11*t^4-8*t^5+ 2*t^6
11n_156,11,3,3,4,1-7*t+ 18*t^2-25*t^3+ 18*t^4-7*t^5+ t^6
11n_157,11,3,3,4,1-6*t+ 15*t^2-21*t^3+ 15*t^4-6*t^5+ t^6
11n_158,11,4,3,4,1-4*t+ 7*t^2-7*t^3+ 7*t^4-7*t^5+ 7*t^6-4*t^7+ t^8
11n_159,11,3,3,4,1-6*t+ 17*t^2-23*t^3+ 17*t^4-6*t^5+ t^6
11n_160,11,3,3,4,1-6*t+ 16*t^2-21*t^3+ 16*t^4-6*t^5+ t^6
11n_161,11,3,3,5,2-8*t+ 14*t^2-15*t^3+ 14*t^4-8*t^5+ 2*t^6
11n_162,11,2,3,5,3-14*t+ 21*t^2-14*t^3+ 3*t^4
11n_163,11,3,3,4,1-8*t+ 22*t^2-29*t^3+ 22*t^4-8*t^5+ t^6
11n_164,11,3,3,4,1-5*t+ 10*t^2-13*t^3+ 10*t^4-5*t^5+ t^6
11n_165,11,3,3,5,1-7*t+ 20*t^2-29*t^3+ 20*t^4-7*t^5+ t^6
11n_166,11,4,3,4,1-4*t+ 8*t^2-11*t^3+ 11*t^4-11*t^5+ 8*t^6-4*t^7+ t^8
11n_167,11,3,3,4,1-5*t+ 15*t^2-21*t^3+ 15*t^4-5*t^5+ t^6
11n_168,11,3,3,5,1-6*t+ 18*t^2-25*t^3+ 18*t^4-6*t^5+ t^6
11n_169,11,3,3,4,3-6*t+ 6*t^2-5*t^3+ 6*t^4-6*t^5+ 3*t^6
11n_170,11,2,3,5,3-16*t+ 25*t^2-16*t^3+ 3*t^4
11n_171,11,2,3,5,6-16*t+ 21*t^2-16*t^3+ 6*t^4
11n_172,11,3,3,4,1-5*t+ 11*t^2-15*t^3+ 11*t^4-5*t^5+ t^6
